conversation_id,combined_turns,text,Extroversion,Neuroticism,Agreeableness,Conscientiousness,Openness,message_id,empathy_human,AGE,GENDER,F0,F1,F2,F3,F4,_intercept
2,"0,1,2,3","I feel very sad for the people. It's terrible. Not only the people but the animals as well! Yeah, the whole situation is horrible. I really wish there was something i could do.",-0.38612053,0.0857247,0.098944604,0.09617074,-0.21594265,1,2.457488294949208,-4.990499666324332,3.0859528357821544,-0.00518084930951282,-0.01980844664076923,-0.00805009729912564,0.00797961427328205,-0.023901284908923077,1.0
2,"4,5,6,7","I know we can donate, but it's hard to know exactly how the money is used. I agree. Have you ever been in a hurricane? No, and You? Yes! It's actually terrifying. We were supposed to evacuate but decided to stay because we thought , what's the worst that can happen?",0.05381454,0.036638726,0.1702663,0.038131952,0.18191005,2,2.038880635445569,16.724384675308002,3.9591650850090496,0.007788197947233333,-0.020572962730966662,0.0012658733621000002,0.005604821820783333,-0.012706822905133334,1.0
2,"8,9,10,11","Sorry to hear that, I'm glad that you are okay! Thank you! I'm glad that we still had water and electricity. I can't even imagine what the people over in Haiti are going through I felt really sorry for the sister that now has to rise her siblings. Yeah, it's going to be tough but i am sure she is strong enough to raise them.",-0.04455864,0.041203868,0.18163972,0.34386832,-0.106650606,3,1.549897044913831,27.487277348796805,3.5601472591475414,-0.01533170375998611,-0.029735581872555556,-0.008979214868791666,-0.005132351889180556,-0.012335515722805553,1.0
2,"12,13,14,15","Yeah, we never know what we can do unless we are tested. True. Have you been in ANY kind of natural disasters? Tornado when I was young. They suck too. Never been in one but i can only imagine it's even scarier than a hurricane",0.32372358,0.083317816,-0.039775964,-0.38251466,0.33451164,4,2.1279790581817903,37.634116457491196,2.0851562933710968,0.04571382391188235,-0.01266892461362745,-0.0016874339046490194,0.0028124279682352937,-0.038819938511,1.0
2,"16,17,18,19,20","The power of nature is truly scary. Agree. I hope those people get some water and food as soon as possible Me too, I wish there was a direct way to aid the people. Yup! Well it was nice talking to you! bye You too! bye",0.074142314,0.12668957,-0.09424491,-0.5173694,0.017700637,5,1.5028598995434266,28.64840830923513,-2.814454022326378,0.012922355219943397,,0.003879101248735849,0.0002165714326037736,-0.002824316146754717,1.0
3,"0,1,2,3",what did you think about the article It was such an eye opener about the suffering that happens that you never hear about its crazy the stuff that goes on in this world right i can't believe it. If that was the US they would be set up to avoid fsilure,-0.54836375,-0.10946484,-0.042625997,-0.13987924,-0.23986736,6,1.7078502347364437,21.240701657526003,-0.6918360238167882,0.027439134656750002,-0.0047826050004615385,-0.003434433347573077,0.0036230963698653845,-0.03381484930638461,1.0
3,"4,5,6,7","yeah some countries are so corrupt though true, i heard in puerto rico they did not even distrubute the hurricane supplies the US gave them i remember  trump throwing toilet paper rolls at the crowd in puerto rico that was so embarrasing o wow that is very embarrassing and degrading",0.43277076,-0.055489253,-0.35436457,-0.7973211,0.31714386,7,1.765244002670853,29.233334759623553,2.465532825717627,0.005867262082039216,-0.004386419807313725,-0.003392087114215686,-0.003442233273882353,-0.006501750827941176,1.0
3,"8,9,10,11",yeah wonder what was going through is head probably a power trip or an i'm better than you moment what do you think can be done to help the people in haiti I think they should do a telethon get a bunch of celebrities and make a hashtag. encourage people to donate and volunteer,0.30732954,0.01984926,-0.24512494,-0.55690545,0.24448654,8,2.1145778142757248,22.954196587319654,2.8453266518578357,0.013155547351327273,-0.015286936616436363,-0.005110568830381818,0.01841830238270909,-0.00861933714001818,1.0
3,"12,13,14,15",makes sense. also find better ways rather than trucks that are easily looted by the people ahh so true!also insure that when you say there is enough for everyone that there actually is. and also not let the haitian govt get there hands on any of it they are corrupt America should dethrone the government and make it the 51st state,0.1256098,-0.039973665,-0.15710415,-0.39579973,0.12801738,9,1.867365539327602,5.8564163332438355,-1.376770595078016,0.015212921281153848,-0.002002863036015385,,0.0016217588535999998,-0.011883715133692307,1.0
3,"16,17,18,19",thats a great idea hopefully these people get the help they need i am going to look into it after this me too very interested in the outcome so crazy the suffering that is going on that we have no idea about,0.09006665,-0.12068285,-0.0754206,-0.4176632,-0.16623089,10,2.3806347953276514,11.384215101164058,-1.2202761004669052,-0.02987217478688095,-0.011827931526523807,-0.0018105580778,-0.010767961448857144,-0.004977948491690476,1.0
3,"20,21,22,23,24",were lucky to live here i agree makes my troubles seem so small yeah makes u realize your problems are miniscule in comparison i agree. it was so nice chatting with you. goodbye bye,0.17374535,0.2483216,-0.27077684,-0.889854,0.17652681,11,1.9744662413245946,18.109132383213364,4.7231911526483055,0.021263264397777776,,0.017970700148555556,,-0.022237469825527777,1.0
5,"0,1,2,3","Please, what did you think about the article It's very sad.   I can't believe in the 21st century that people are still so slow in helping third world countries or even in the US when New Orleans was destroyed.   It makes no sense. It's terrible. I feel bad for all the people left without shelter! And food - you can get by in Haiti without much shelter but one must have clean water and food to live",-0.045978043,0.09233237,0.07342288,-0.18926181,0.07238964,12,2.343204862563541,23.794568171509255,-0.8623257692719524,0.027166162590891572,-0.01356944211059036,-0.0014664149447120485,0.002032100834698795,-0.02015052740284337,1.0
5,"4,5,6,7","Agree. Have you ever been in a hurricane? I have not but I have been to Haiti on a mission trip.   Such wonderful kind people. Wow, Haiti sounds awesome. I'm from Florida so there's lots of them here and they are all nice. That would be so much stress.   I live in Colorado so just beautiful white snow.",0.099465944,-0.018212147,0.1652262,-0.07259892,0.022768507,13,1.4413446201194149,53.01773951584545,4.1149776052792095,-0.0024322972649253732,-0.013676313762597014,0.0007039123545567168,-0.005626688394268657,-0.004130027412507462,1.0
